address,auction_date,auction_result,base_price_eur,codice,final_offer_eur,lot_id,source_pdf,surface_sqm,winner
MILANO VIA COSTANTINO BARONI '79,25 Luglio 2019,AGGIUDICATA,73226.0,00663846,112880.0,240/19,esito-25luglio19.pdf,,Z.R.A.G.S.
ROZZANO VIA FIORDALISI '1,25 Luglio 2019,ASTA DESERTA,94263.0,00670469,0.0,241/19,esito-25luglio19.pdf,,
ROZZANO VIA FIORDALISI '3,25 Luglio 2019,ASTA DESERTA,79330.0,00670493,0.0,242/19,esito-25luglio19.pdf,,
MILANO VIA ALESSANDRO LITTA MODIGNANI '93,25 Luglio 2019,AGGIUDICATA,109888.0,00690020,160000.0,243/19,esito-25luglio19.pdf,,Y.Y.
MILANO VIA ALESSANDRO LITTA MODIGNANI '111,25 Luglio 2019,AGGIUDICATA,97920.0,00690108,145200.0,244/19,esito-25luglio19.pdf,,P.Q.
MILANO VIA APPENNINI '71,25 Luglio 2019,AGGIUDICATA,73872.0,00721730,136000.0,245/19,esito-25luglio19.pdf,,B.Z.
CORSICO VIA EUGENIO CURIEL '12,25 Luglio 2019,AGGIUDICATA,78997.0,00740742,83120.0,246/19,esito-25luglio19.pdf,,M.R.G.
CORSICO VIA MARZABOTTO '10,25 Luglio 2019,AGGIUDICATA,52760.0,00741499,65180.0,247/19,esito-25luglio19.pdf,,Z.M.Q.
MILANO VIA ENRICO DE NICOLA '24,25 Luglio 2019,AGGIUDICATA,97152.0,00750040,135100.0,248/19,esito-25luglio19.pdf,,W.B.T.A.
MILANO VIA AGOSTINO DE PRETIS '11,25 Luglio 2019,AGGIUDICATA,79488.0,00750294,110200.0,249/19,esito-25luglio19.pdf,,M.H.S.H.
MILANO VIA AGOSTINO DE PRETIS '99,25 Luglio 2019,AGGIUDICATA,72864.0,00750379,76500.0,250/19,esito-25luglio19.pdf,,S.T.
MILANO VIA AGOSTINO DE PRETIS '59,25 Luglio 2019,AGGIUDICATA,92736.0,00750672,124000.0,251/19,esito-25luglio19.pdf,,G.R.T.R.
00985034 ROZZANO VIALE LAZIO '19,25 Luglio 2019,AGGIUDICATA,103927.0,00980034,111200.0,252/19,esito-25luglio19.pdf,,D.S.
00985129 ROZZANO VIALE LAZIO '24,25 Luglio 2019,ASTA DESERTA,86471.0,00980119,0.0,253/19,esito-25luglio19.pdf,,
MILANO VIA DELLE GENZIANE '3,25 Luglio 2019,AGGIUDICATA,95521.0,09010012,181100.0,254/19,esito-25luglio19.pdf,,F.D.
MILANO VIA ADOLFO OMODEO '23/2,25 Luglio 2019,AGGIUDICATA,89964.0,09020202,188888.0,255/19,esito-25luglio19.pdf,,Q.X.
SAN DONATO MILANE VIA ANGELO MORO '27.D A,25 Luglio 2019,AGGIUDICATA,67703.0,16540094,75000.0,256/19,esito-25luglio19.pdf,,P.G.
70592610 MILANO VIA RAFFAELLO GIOLLI '23,25 Luglio 2019,AGGIUDICATA,195043.0,70590610,292000.0,257/19,esito-25luglio19.pdf,,W.X.
MILANO VIA OSTENO '4,25 Luglio 2019,ASTA DESERTA,95304.0,92630066,0.0,258/19,esito-25luglio19.pdf,,
MILANO VIA URUGUAY '32,25 Luglio 2019,AGGIUDICATA,78948.0,99350104,166100.0,259/19,esito-25luglio19.pdf,,W.L.
MILANO VIA GIOVANNI PASCOLI '2,21 Febbraio 2019,AGGIUDICATA,87912.0,00160088,235000.0,001/19,esito-21febbraio19.pdf,,C.A.I.
MILANO VIA JACOPINO DA TRADATE '8,21 Febbraio 2019,AGGIUDICATA,107520.0,00230558,150100.0,002/19,esito-21febbraio19.pdf,,P.P.
MILANO VIA FILIPPO ABBIATI '5,21 Febbraio 2019,AGGIUDICATA,48450.0,00341238,62500.0,003/19,esito-21febbraio19.pdf,,O.S.
MILANO VIA DALMAZIO BIRAGO '4,21 Febbraio 2019,AGGIUDICATA,72128.0,00410195,121200.0,004/19,esito-21febbraio19.pdf,,P.L.
MILANO VIA MEDEGHINO '24,21 Febbraio 2019,AGGIUDICATA,94563.0,00480022,180210.0,005/19,esito-21febbraio19.pdf,,C.S.
MILANO VIA ORBETELLO '2,21 Febbraio 2019,AGGIUDICATA,58464.0,00500170,91000.0,006/19,esito-21febbraio19.pdf,,T.B.K.F.
MILANO VIA TEANO '36,21 Febbraio 2019,AGGIUDICATA,60416.0,00510284,83000.0,007/19,esito-21febbraio19.pdf,,K.K.
MILANO VIA ESCULAPIO '4 A,21 Febbraio 2019,AGGIUDICATA,80896.0,00510544,116800.0,008/19,esito-21febbraio19.pdf,,L.A.
MILANO VIA ESCULAPIO '4 B,21 Febbraio 2019,AGGIUDICATA,67584.0,00510783,101100.0,009/19,esito-21febbraio19.pdf,,P.M.
MILANO VIA ROMUALDO BONFADINI '98,21 Febbraio 2019,AGGIUDICATA,55991.0,00553251,75385.0,010/19,esito-21febbraio19.pdf,,C.G.
MILANO VIA CONCILIO VATICANO II '4,21 Febbraio 2019,NON OPTATO,60032.0,00620232,0.0,011/19,esito-21febbraio19.pdf,,
MILANO VIA DEI SALICI '79,21 Febbraio 2019,ASTA DESERTA,97527.0,00650666,0.0,012/19,esito-21febbraio19.pdf,,
CESANO BOSCONE VIA DEI SALICI '25,21 Febbraio 2019,NON OPTATO,97527.0,00650966,0.0,013/19,esito-21febbraio19.pdf,,
MILANO VIA DEI LARICI '36,21 Febbraio 2019,AGGIUDICATA,98648.0,00651629,116000.0,014/19,esito-21febbraio19.pdf,,A.H.M.Y.
MILANO VIA COSTANTINO BARONI '236,21 Febbraio 2019,AGGIUDICATA,41664.0,00661867,67500.0,015/19,esito-21febbraio19.pdf,,T.K.
MILANO VIA MICHELE SAPONARO '38,21 Febbraio 2019,AGGIUDICATA,104481.0,00667429,145000.0,016/19,esito-21febbraio19.pdf,,T.G.
ROZZANO VIA LILLA' '1,21 Febbraio 2019,ASTA DESERTA,117059.0,00673851,0.0,017/19,esito-21febbraio19.pdf,,
MILANO VIA UGO BETTI '163,21 Febbraio 2019,AGGIUDICATA,78030.0,00680990,156700.0,018/19,esito-21febbraio19.pdf,,V.M.
MILANO VIA ALESSANDRO LITTA MODIGNANI '103,21 Febbraio 2019,AGGIUDICATA,69632.0,00690327,100100.0,019/19,esito-21febbraio19.pdf,,P.S.
MILANO VIA ARTURO GRAF '56,21 Febbraio 2019,AGGIUDICATA,66931.0,00700494,102360.0,020/19,esito-21febbraio19.pdf,,A.T.I.M.
MILANO VIA APPENNINI '69,21 Febbraio 2019,AGGIUDICATA,80784.0,00721716,148000.0,021/19,esito-21febbraio19.pdf,,Z.N.
CORSICO VIA EUGENIO CURIEL '6,21 Febbraio 2019,AGGIUDICATA,60322.0,00740603,76550.0,022/19,esito-21febbraio19.pdf,,M.L.F.E.
