base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,source_url,street_number,auction_result,base_price_eur,codice,final_offer_eur,source_pdf,winner,address,auction_date,surface_sqm,data_source,latitude,longitude
,,,,,,007/16,,,,,,,AGGIUDICATA,60622.0,410208.0,64123.0,esito-11febbraio16.pdf,M.Z.,MILANO VIA DALMAZIO BIRAGO '4,11 Febbraio 2016,,pdf_only,45.4697643,9.231295
,,,,,,007/17,,,,,,,AGGIUDICATA,41344.0,410406.0,60000.0,esito-08marzo17.pdf,S.P.M.,MILANO VIA ILLIRICO '1,8 Marzo 2017,,pdf_only,45.4693088,9.232309
54560.0,UOG4,MILANO,G,True,,007/18,,ALLOGGIO,2.0,20180206172225.html,http://www.alermipianovendite.it/4209-2/,94,AGGIUDICATA,54560.0,553381.0,81700.0,esito-08marzo18.pdf,A.M.,VIA ROMUALDO BONFADINI,08 Marzo 2018,62.0,wayback,45.4443423,9.242782300000002
,,,,,,007/19,,,,,,,AGGIUDICATA,60416.0,510284.0,83000.0,esito-21febbraio19.pdf,K.K.,MILANO VIA TEANO '36,21 Febbraio 2019,,pdf_only,45.5287212,9.1581586
,,,,,,007/21,,,,,,,AGGIUDICATA,82748.0,650070.0,120100.0,esito-18febbraio2021.pdf,E.A.S.K.,MILANO VIA DEGLI ONTANI '30,18 Febbraio 2021,,pdf_only,45.4543484,9.0790826
,,,,,,007/22,,,,,,,AGGIUDICATA,131040.0,571987.0,241000.0,esito-17febbraio2022.pdf,M.M.A.,MILANO VIA GIACOMO QUARENGHI '32,17 Febbraio 2022,,pdf_only,45.498168,9.1148403
,,,,,,007/23,,,,,,,AGGIUDICATA,105280.0,666423.0,201000.0,esito-9marzo2023.pdf,B.M.,MILANO VIA MICHELE SAPONARO '24,9 Marzo 2023,,pdf_only,45.408712,9.1736211
,,,,,,007/24,,,,,,,AGGIUDICATA,96815.0,500086.0,174414.0,esito-15febbraio2024.pdf,P.A.,MILANO VIA ORBETELLO '2,15 Febbraio 2024,67.0,pdf_only,45.5025201,9.2456956
,,,,,,007/25,,,,,,,AGGIUDICATA,108800.0,672663.0,165110.0,esito-13febbraio2025.pdf,I.K.S.E.,ROZZANO VIA BETULLE '2,13 Febbraio 2025,85.0,pdf_only,45.3809794,9.1577351
,,,,,,007/26,,,,,,,AGGIUDICATA,161263.0,470450.0,171263.2,esito-12febbraio2026.pdf,T.S.,MILANO VIALE OMERO '19,12 Febbraio 2026,70.0,pdf_only,45.4331057,9.2246652
,,,,,,008/15,,,,,,,AGGIUDICATA,53990.0,250035.0,77770.0,esito-18febbraio15.pdf,C.A.,MILANO VIALE TIBALDI '66,18 Febbraio 2015,,pdf_only,45.4449749,9.1857371
,,,,,,008/16,,,,,,,AGGIUDICATA,38890.0,410430.0,51120.0,esito-11febbraio16.pdf,B.C.-.M.J.,MILANO VIA ILLIRICO '1 A,11 Febbraio 2016,,pdf_only,45.4697051,9.2324398
