address,auction_date,base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,street_number,surface_sqm
VIA VAL SABBIA,20 Maggio 2021,70913.0,UOG3,MILANO,G,True,A,087/21,PIENA PROP.,ALLOGGIO,2,20210512011249.html,'6,62.0
VIA VAL SABBIA,20 Maggio 2021,81206.0,UOG3,MILANO,G,True,B,088/21,PIENA PROP.,ALLOGGIO,2,20210512011249.html,'6,71.0
VIA SANTUARIO DEL SACRO CUORE,20 Maggio 2021,78919.0,UOG3,MILANO,G,True,A,089/21,PIENA PROP.,ALLOGGIO,2,20210512011249.html,'3,69.0
VIA SANTUARIO DEL SACRO CUORE,20 Maggio 2021,61763.0,UOG3,MILANO,G,False,B,090/21,PIENA PROP.,ALLOGGIO,2,20210512011249.html,'3,54.0
VIALE UNGHERIA,20 Maggio 2021,100100.0,UOG4,MILANO,F,True,,091/21,PIENA PROP.,ALLOGGIO,3,20210512011249.html,'4,91.0
VIA ALESSANDRO LITTA MODIGNANI,20 Maggio 2021,99506.0,UOG3,MILANO,F,True,,092/21,PIENA PROP.,ALLOGGIO,3,20210512011249.html,'91,87.0
VIA ALESSANDRO LITTA MODIGNANI,20 Maggio 2021,99506.0,UOG3,MILANO,F,True,,093/21,PIENA PROP.,ALLOGGIO,3,20210512011249.html,'111,87.0
VIA ALESSANDRO LITTA MODIGNANI,20 Maggio 2021,78919.0,UOG3,MILANO,F,True,,094/21,PIENA PROP.,ALLOGGIO,2,20210512011249.html,'105,69.0
VIA ARTURO GRAF,20 Maggio 2021,79380.0,UOG3,MILANO,G,True,,095/21,PIENA PROP.,ALLOGGIO,3,20210512011249.html,'48,84.0
VIA ARTURO GRAF,20 Maggio 2021,69930.0,UOG3,MILANO,G,True,,096/21,PIENA PROP.,ALLOGGIO,2,20210512011249.html,'60,71.0
VIA FILIPPO DE PISIS,20 Maggio 2021,64260.0,UOG3,MILANO,G,True,,097/21,PIENA PROP.,ALLOGGIO,2,20210512011249.html,'31,68.0
VIA FILIPPO DE PISIS,20 Maggio 2021,78435.0,UOG3,MILANO,G,True,,098/21,PIENA PROP.,ALLOGGIO,3,20210512011249.html,'49,83.0
