address,auction_result,base_price_eur,codice,final_offer_eur,lot_id,source_pdf,winner
MILANO VIA APPENNINI '37,AGGIUDICATA,91980.0,00721960,176888.0,009/22,esito-17febbraio2022.pdf,F.M.
CORSICO VIA EUGENIO CURIEL '29 A,AGGIUDICATA,65711.0,00740343,98500.0,010/22,esito-17febbraio2022.pdf,Z.O.S.S.
CORSICO VIA EUGENIO CURIEL '29 B,AGGIUDICATA,80646.0,00740354,139980.0,011/22,esito-17febbraio2022.pdf,Z.G.
MILANO VIA ENRICO DE NICOLA '20,AGGIUDICATA,71610.0,00750015,126100.0,012/22,esito-17febbraio2022.pdf,S.M.N.M.A.
MILANO VIA ENRICO DE NICOLA '30,AGGIUDICATA,99330.0,00750085,170050.0,013/22,esito-17febbraio2022.pdf,B.R.M.M.
MILANO VIA AGOSTINO DE PRETIS '9,AGGIUDICATA,120120.0,00750275,186880.0,014/22,esito-17febbraio2022.pdf,H.F.
MILANO VIA AGOSTINO DE PRETIS '123,AGGIUDICATA,83160.0,00750570,136250.0,015/22,esito-17febbraio2022.pdf,F.S.S.A.
MILANO VIA ENRICO DE NICOLA '4,AGGIUDICATA,100485.0,00750806,175740.0,016/22,esito-17febbraio2022.pdf,A.M.M.L.
MILANO VIA AGOSTINO DE PRETIS '85,AGGIUDICATA,100485.0,00751146,165100.0,017/22,esito-17febbraio2022.pdf,S.S.E.A.
LEGNANO VIA BRENNERO '6 A,ASTA DESERTA,67760.0,02070169,0.0,018/22,esito-17febbraio2022.pdf,
LEGNANO VIA BRENNERO '6 B,ASTA DESERTA,58520.0,02070189,0.0,019/22,esito-17febbraio2022.pdf,
