auction_date,base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,street_number,surface_sqm,auction_result,base_price_eur,codice,final_offer_eur,source_pdf,winner,address,latitude,longitude
01 febbraio 2018,43344.0,UOGR,LEGNANO,SENZA IMPIANTO,False,,342/17,,ALLOGGIO,3.0,20180110020919.html,40,86.0,ASTA DESERTA,43344.0,2070084.0,0.0,esito-01febbraio18.pdf,,VIA PADRE REGINALDO GIULIANI,45.6057789,8.9149162
01 febbraio 2018,95948.0,UOGS,SESTO SAN GIOVANNI,G,False,,343/17,,ALLOGGIO,3.0,20180110020919.html,109,83.0,AGGIUDICATA,95948.0,2370128.0,105650.0,esito-01febbraio18.pdf,M.I.,VIA GIACOMO LEOPARDI,45.5383865,9.224882899999999
01 febbraio 2018,43718.0,UOGR,BINASCO,SENZA IMPIANTO,False,A,344/17,,ALLOGGIO,2.0,20180110020919.html,29,69.0,AGGIUDICATA,43718.0,2430050.0,43750.0,esito-01febbraio18.pdf,A.A.,VIA GUGLIELMO MARCONI,45.32931809999999,9.093204
01 febbraio 2018,61776.0,UOGR,BINASCO,SENZA IMPIANTO,False,B,345/17,,ALLOGGIO,4.0,20180110020919.html,29,104.0,AGGIUDICATA,61776.0,3250077.0,0.0,esito-01febbraio18.pdf,N.O.,VIA GUGLIELMO MARCONI,45.32931809999999,9.093204
01 febbraio 2018,45144.0,UOGR,BINASCO,SENZA IMPIANTO,False,C,346/17,,ALLOGGIO,2.0,20180110020919.html,29,76.0,AGGIUDICATA,45144.0,3250118.0,46850.0,esito-01febbraio18.pdf,F.M.,VIA GUGLIELMO MARCONI,45.32931809999999,9.093204
01 febbraio 2018,218478.0,UOG1,MILANO,G,True,,347/17,,ALLOGGIO,3.0,20180110020919.html,15,88.0,AGGIUDICATA,218478.0,9050017.0,352000.0,esito-01febbraio18.pdf,G.L.,VIA CALATAFIMI,45.4542972,9.1841843
01 febbraio 2018,162792.0,UOG4,MILANO,G,True,,348/17,,ALLOGGIO,4.0,20180110020919.html,23,133.0,AGGIUDICATA,162792.0,9130327.0,302100.0,esito-01febbraio18.pdf,M.C.-.S.S.,VIA NEGROLI,45.4650405,9.2323529
01 febbraio 2018,38114.0,UOGR,TREZZANO SUL NAVIGLIO,E,True,,349/17,,ALLOGGIO,2.0,20180110020919.html,38,59.0,AGGIUDICATA,38114.0,12330057.0,42500.0,esito-01febbraio18.pdf,C.R.A.,VIA CLAUDIO TREVES,45.4179584,9.0636508
01 febbraio 2018,104040.0,UOG3,MILANO,G,True,,350/17,,ALLOGGIO,4.0,20180110020919.html,16,102.0,ASTA DESERTA,104040.0,70030144.0,0.0,esito-01febbraio18.pdf,,VIA LONGARONE,45.5198036,9.1411904
01 febbraio 2018,132600.0,UOG3,MILANO,G,True,,351/17,,ALLOGGIO,4.0,20180110020919.html,18,130.0,AGGIUDICATA,132600.0,70030512.0,133200.0,esito-01febbraio18.pdf,P.R.,VIA LONGARONE,45.5200109,9.1419255
01 febbraio 2018,105655.0,UOG3,MILANO,G,True,,352/17,,ALLOGGIO,4.0,20180110020919.html,8,113.0,AGGIUDICATA,105655.0,70100265.0,150000.0,esito-01febbraio18.pdf,M.A.M.M.,VIA LUIGI CHIARELLI,45.4922625,9.1218766
01 febbraio 2018,59670.0,UOGS,SESTO SAN GIOVANNI,G,False,,353/17,,ALLOGGIO,2.0,20180110020919.html,74,65.0,ASTA DESERTA,59670.0,70160064.0,0.0,esito-01febbraio18.pdf,,VIA FORLI',45.5326916,9.254484999999999
01 febbraio 2018,139991.0,UOG3,MILANO,F,True,,354/17,,ALLOGGIO,4.0,20180110020919.html,1,111.0,AGGIUDICATA,139991.0,70590045.0,202001.0,esito-01febbraio18.pdf,T.K.,VIA BELTRAME CRISTIANI,45.4687522,9.1815955
01 febbraio 2018,139991.0,UOG3,MILANO,NO,False,,354/17,,AUTOBOX,0.0,20180110020919.html,1,13.0,AGGIUDICATA,139991.0,70590045.0,202001.0,esito-01febbraio18.pdf,T.K.,VIA BELTRAME CRISTIANI,45.4687522,9.1815955
01 febbraio 2018,167575.0,UOG3,MILANO,G,True,,355/17,,ALLOGGIO,4.0,20180110020919.html,25,134.0,AGGIUDICATA,167575.0,70590595.0,192800.0,esito-01febbraio18.pdf,Z.H.,VIA RAFFAELLO GIOLLI,45.5265163,9.210816
01 febbraio 2018,167575.0,UOG3,MILANO,NO,False,,355/17,,AUTOBOX,0.0,20180110020919.html,25,14.0,AGGIUDICATA,167575.0,70590595.0,192800.0,esito-01febbraio18.pdf,Z.H.,VIA RAFFAELLO GIOLLI,45.5265163,9.210816
01 febbraio 2018,161762.0,UOG3,MILANO,G,True,,356/17,,ALLOGGIO,4.0,20180110020919.html,24,129.0,ASTA DESERTA,161762.0,70590846.0,0.0,esito-01febbraio18.pdf,,VIA RAFFAELLO GIOLLI,45.5268926,9.2110553
01 febbraio 2018,161762.0,UOG3,MILANO,NO,False,,356/17,,AUTOBOX,0.0,20180110020919.html,294,14.0,ASTA DESERTA,161762.0,70590846.0,0.0,esito-01febbraio18.pdf,,VIALE GIOVANNI SUZZANI,45.5280221,9.2102893
01 febbraio 2018,142963.0,UOG1,MILANO,G,True,,357/17,,ALLOGGIO,5.0,20180110020919.html,7,138.0,AGGIUDICATA,142963.0,71020728.0,161100.0,esito-01febbraio18.pdf,S.G.,VIA PATERNO',45.43958749999999,9.139711199999999
01 febbraio 2018,142963.0,UOG1,MILANO,NO,False,,357/17,,AUTOBOX,0.0,20180110020919.html,7,12.0,AGGIUDICATA,142963.0,71020728.0,161100.0,esito-01febbraio18.pdf,S.G.,VIA PATERNO',45.43958749999999,9.139711199999999
