auction_date,base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,street_number,surface_sqm,auction_result,base_price_eur,codice,final_offer_eur,source_pdf,winner,address,lat,lng,zone_id,price_disparity,base_price_per_sqm,final_base_price_eur
06 Luglio 2017,118121.0,4,MILANO,G,False,,148/17,,,3.0,20170705084616.html,34,69.0,AGGIUDICATA,118121.0,301085.0,171502.0,esito-06luglio17.pdf,F.F.,ALZAIA NAVIGLIO PAVESE,45.4482231,9.1765224,-1,0.45191794854428935,1711.8985507246377,2485.536231884058
06 Luglio 2017,43868.0,6,MILANO,G,False,,149/17,,,2.0,20170705084616.html,4,56.0,ASTA DESERTA,43868.0,343544.0,0.0,esito-06luglio17.pdf,,PIAZZALE SELINUNTE,45.4717491,9.1381606,10,-1.0,783.3571428571429,0.0
06 Luglio 2017,45220.0,2,MILANO,G,False,A,150/17,,,1.0,20170705084616.html,1,35.0,AGGIUDICATA,45220.0,410451.0,51525.0,esito-06luglio17.pdf,F.E.,VIA ILLIRICO,45.46938189999999,9.2323007,2,0.13942945599292347,1292.0,1472.142857142857
06 Luglio 2017,93024.0,2,MILANO,G,False,B,151/17,,,3.0,20170705084616.html,1,72.0,AGGIUDICATA,93024.0,410468.0,132880.0,esito-06luglio17.pdf,D.L.R.,VIA ILLIRICO,45.46938189999999,9.2323007,2,0.4284485724114207,1292.0,1845.5555555555557
06 Luglio 2017,65892.0,2,MILANO,G,False,,152/17,,,2.0,20170705084616.html,3,51.0,AGGIUDICATA,65892.0,410529.0,95389.0,esito-06luglio17.pdf,B.M.A.,VIA ILLIRICO,45.46932289999999,9.2322157,2,0.44765677168700296,1292.0,1870.3725490196077
06 Luglio 2017,81344.0,3,MILANO,G,True,,153/17,,,3.0,20170705084616.html,4,82.0,AGGIUDICATA,81344.0,510574.0,96000.0,esito-06luglio17.pdf,P.M.,VIA ESCULAPIO,45.5247587,9.1613276,13,0.18017309205350118,992.0,1170.7317073170732
06 Luglio 2017,53568.0,3,MILANO,G,True,,154/17,,,2.0,20170705084616.html,3,54.0,AGGIUDICATA,53568.0,510718.0,62300.0,esito-06luglio17.pdf,A.A.,VIA SANTUARIO DEL SACRO CUORE,45.52408690000001,9.162856,13,0.16300776583034648,992.0,1153.7037037037037
06 Luglio 2017,58481.0,1,MILANO,G,True,,155/17,,,3.0,20170705084616.html,98,71.0,AGGIUDICATA,58481.0,551719.0,103500.0,esito-06luglio17.pdf,G.P.,VIA ROMUALDO BONFADINI,45.4441447,9.2447383,3,0.7698055778799953,823.6760563380282,1457.7464788732395
06 Luglio 2017,99456.0,3,MILANO,G,True,,156/17,,,4.0,20170705084616.html,3,111.0,AGGIUDICATA,99456.0,571412.0,202200.0,esito-06luglio17.pdf,O.R.,VIA EMANUELE KANT,45.4965828,9.1192912,9,1.0330598455598456,896.0,1821.6216216216217
06 Luglio 2017,68544.0,3,MILANO,G,True,,157/17,,,2.0,20170705084616.html,34,72.0,AGGIUDICATA,68544.0,571798.0,71900.0,esito-06luglio17.pdf,F.D.,VIA GIACOMO QUARENGHI,45.49813710000001,9.1143544,9,0.04896125116713352,952.0,998.6111111111111
06 Luglio 2017,58661.0,3,MILANO,F,True,,158/17,,,2.0,20170705084616.html,10,71.0,AGGIUDICATA,58661.0,620767.0,0.0,esito-06luglio17.pdf,N.O.,VIA CONCILIO VATICANO II,45.5125339,9.1492523,14,-1.0,826.2112676056338,0.0
06 Luglio 2017,62370.0,6,MILANO,G,True,,159/17,,,2.0,20170705084616.html,4,66.0,ASTA DESERTA,62370.0,651502.0,0.0,esito-06luglio17.pdf,,VIA DEI LARICI,45.4536436,9.0837303,8,-1.0,945.0,0.0
06 Luglio 2017,81270.0,6,MILANO,G,True,,160/17,,,3.0,20170705084616.html,12,86.0,AGGIUDICATA,81270.0,651566.0,90500.0,esito-06luglio17.pdf,M.G.N.M.,VIA DEI LARICI,45.4535898,9.0829065,8,0.11357204380460194,945.0,1052.3255813953488
06 Luglio 2017,61425.0,6,MILANO,G,True,,161/17,,,2.0,20170705084616.html,14,65.0,AGGIUDICATA,61425.0,651575.0,65750.0,esito-06luglio17.pdf,C.A.R.,VIA DEI LARICI,45.4535777,9.0827232,8,0.0704110704110704,945.0,1011.5384615384615
06 Luglio 2017,82215.0,6,MILANO,G,True,,162/17,,,3.0,20170705084616.html,32,87.0,ASTA DESERTA,82215.0,651600.0,0.0,esito-06luglio17.pdf,,VIA DEI LARICI,45.4540452,9.0835402,8,-1.0,945.0,0.0
06 Luglio 2017,82215.0,6,MILANO,G,True,,163/17,,,3.0,20170705084616.html,28,87.0,AGGIUDICATA,82215.0,651780.0,85250.0,esito-06luglio17.pdf,M.L.,VIA DEI LARICI,45.4542224,9.0830304,8,0.03691540473149669,945.0,979.8850574712644
06 Luglio 2017,66150.0,6,MILANO,G,True,,164/17,,,2.0,20170705084616.html,5,70.0,AGGIUDICATA,66150.0,652175.0,66700.0,esito-06luglio17.pdf,L.G.,VIA DELLE BETULLE,45.4529664,9.0844418,8,0.008314436885865457,945.0,952.8571428571429
06 Luglio 2017,46267.0,4,MILANO,G,True,,165/17,,,2.0,20170705084616.html,63,63.0,AGGIUDICATA,46267.0,664613.0,0.0,esito-06luglio17.pdf,N.O.,VIA COSTANTINO BARONI,45.4063471,9.1705582,5,-1.0,734.3968253968254,0.0
06 Luglio 2017,63784.0,3,MILANO,E,True,,166/17,,,2.0,20170705084616.html,191,67.0,AGGIUDICATA,63784.0,680871.0,103330.0,esito-06luglio17.pdf,L.G.,VIA UGO BETTI,45.496793,9.1095525,9,0.6199987457669635,952.0,1542.2388059701493
06 Luglio 2017,97664.0,3,MILANO,E,True,,167/17,,,4.0,20170705084616.html,173,109.0,AGGIUDICATA,97664.0,680901.0,173500.0,esito-06luglio17.pdf,J.F.,VIA UGO BETTI,45.4968319,9.1090782,9,0.7764990170380078,896.0,1591.7431192660551
06 Luglio 2017,81536.0,3,MILANO,E,True,,168/17,,,3.0,20170705084616.html,167,91.0,AGGIUDICATA,81536.0,680958.0,136000.0,esito-06luglio17.pdf,B.A.,VIA UGO BETTI,45.496449,9.1086959,9,0.6679748822605965,896.0,1494.5054945054944
06 Luglio 2017,95872.0,3,MILANO,G,True,,169/17,,,4.0,20170705084616.html,43,107.0,AGGIUDICATA,95872.0,681400.0,105000.0,esito-06luglio17.pdf,A.C.C.A.,VIA UGO BETTI,45.4923033,9.1105569,9,0.09521028037383178,896.0,981.3084112149533
06 Luglio 2017,77952.0,3,MILANO,G,True,,170/17,,,3.0,20170705084616.html,141,87.0,AGGIUDICATA,77952.0,682073.0,91000.0,esito-06luglio17.pdf,H.L.,VIA UGO BETTI,45.49535849999999,9.1076826,9,0.16738505747126436,896.0,1045.9770114942528
06 Luglio 2017,63784.0,3,MILANO,G,True,,171/17,,,2.0,20170705084616.html,55,67.0,AGGIUDICATA,63784.0,682394.0,86500.0,esito-06luglio17.pdf,D.L.V.-.F.P.,VIA UGO BETTI,45.4924378,9.1088847,9,0.3561394707136586,952.0,1291.044776119403
06 Luglio 2017,79968.0,3,MILANO,G,True,,172/17,,,3.0,20170705084616.html,3,84.0,AGGIUDICATA,79968.0,682566.0,115950.0,esito-06luglio17.pdf,V.V.,VIA UGO OJETTI,45.49345479999999,9.1132116,9,0.4499549819927971,952.0,1380.357142857143
06 Luglio 2017,89280.0,3,MILANO,G,True,,173/17,,,4.0,20170705084616.html,93,100.0,AGGIUDICATA,89280.0,690016.0,96000.0,esito-06luglio17.pdf,H.S.-.R.,VIA ALESSANDRO LITTA MODIGNANI,45.52086180000001,9.1532206,14,0.07526881720430108,892.8,960.0
06 Luglio 2017,65772.0,3,MILANO,G,True,,174/17,,,3.0,20170705084616.html,47,75.0,AGGIUDICATA,65772.0,701000.0,75800.0,esito-06luglio17.pdf,A.F.-.L.,VIA FILIPPO DE PISIS,45.51178059999999,9.1443638,14,0.15246609499483063,876.96,1010.6666666666666
06 Luglio 2017,63784.0,3,MILANO,G,True,,175/17,,,2.0,20170705084616.html,9,67.0,AGGIUDICATA,63784.0,720426.0,83880.0,esito-06luglio17.pdf,P.V.G.,VIA ENRICO FALCK,45.4982919,9.1049171,9,0.31506333876834314,952.0,1251.9402985074628
06 Luglio 2017,80920.0,3,MILANO,G,True,,176/17,,,3.0,20170705084616.html,21,85.0,ASTA DESERTA,80920.0,720581.0,0.0,esito-06luglio17.pdf,,VIA ENRICO FALCK,45.49776920000001,9.1039101,9,-1.0,952.0,0.0
06 Luglio 2017,67592.0,3,MILANO,G,True,,177/17,,,2.0,20170705084616.html,41,71.0,AGGIUDICATA,67592.0,721924.0,85100.0,esito-06luglio17.pdf,A.B.,VIA APPENNINI,45.5017577,9.1062074,9,0.25902473665522546,952.0,1198.5915492957747
06 Luglio 2017,73304.0,3,MILANO,F,True,,178/17,,,2.0,20170705084616.html,152,77.0,AGGIUDICATA,73304.0,722124.0,92700.0,esito-06luglio17.pdf,Z.P.,VIA FRANCESCO CILEA,45.5014107,9.0950693,9,0.2645967477900251,952.0,1203.8961038961038
06 Luglio 2017,82824.0,3,MILANO,G,True,,179/17,,,3.0,20170705084616.html,43,87.0,AGGIUDICATA,82824.0,722622.0,87100.0,esito-06luglio17.pdf,D.L.L.,VIA GIACOMO QUARENGHI,45.4988765,9.1102546,9,0.05162754757075244,952.0,1001.1494252873563
06 Luglio 2017,71424.0,4,MILANO,D,True,,180/17,,,3.0,20170705084616.html,73,62.0,ASTA DESERTA,71424.0,751063.0,0.0,esito-06luglio17.pdf,,VIA AGOSTINO DE PRETIS,45.4291802,9.1525005,11,-1.0,1152.0,0.0
