base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,source_url,street_number,auction_result,base_price_eur,codice,final_offer_eur,source_pdf,winner,address,auction_date,surface_sqm,data_source,lat,lng,zone_id,price_disparity,base_price_per_sqm,final_base_price_eur
,,,,,,009/16,,,,,,,NON OPTATO,64053.0,410491.0,0.0,esito-11febbraio16.pdf,,MILANO VIA ILLIRICO '1 B,11 Febbraio 2016,,pdf_only,45.4697051,9.2324398,42,-1.0,,
,,,,,,009/17,,,,,,,AGGIUDICATA,67760.0,550676.0,95000.0,esito-08marzo17.pdf,G.L.,MILANO VIALE UNGHERIA '19 B,8 Marzo 2017,,pdf_only,45.4460873,9.2531847,21,0.4020070838252656,,
99552.0,UOG2,MILANO,G,True,,009/18,,ALLOGGIO,4.0,20180206172225.html,http://www.alermipianovendite.it/4209-2/,25,ASTA DESERTA,99552.0,651815.0,0.0,esito-08marzo18.pdf,,VIA DEI LARICI,08 Marzo 2018,102.0,wayback,45.4537384,9.082148,26,-1.0,976.0,0.0
,,,,,,009/19,,,,,,,AGGIUDICATA,67584.0,510783.0,101100.0,esito-21febbraio19.pdf,P.M.,MILANO VIA ESCULAPIO '4 B,21 Febbraio 2019,,pdf_only,45.524645,9.1619134,48,0.4959161931818182,,
,,,,,,009/21,,,,,,,AGGIUDICATA,66150.0,700103.0,102999.0,esito-18febbraio2021.pdf,Z.A.,MILANO VIA ARTURO GRAF '24,18 Febbraio 2021,,pdf_only,45.5128251,9.1401627,47,0.5570521541950113,,
,,,,,,009/22,,,,,,,AGGIUDICATA,91980.0,721960.0,176888.0,esito-17febbraio2022.pdf,F.M.,MILANO VIA APPENNINI '37,17 Febbraio 2022,,pdf_only,45.5015351,9.1064459,50,0.9231137203739943,,
,,,,,,009/23,,,,,,,AGGIUDICATA,107880.0,690170.0,175888.0,esito-9marzo2023.pdf,L.H.,MILANO VIA ALESSANDRO LITTA MODIGNANI '113,9 Marzo 2023,,pdf_only,45.5223492,9.1574653,32,0.6304041527623285,,
,,,,,,009/24,,,,,,,AGGIUDICATA,69680.0,510671.0,142000.0,esito-15febbraio2024.pdf,N.Y.,MILANO VIA SANTUARIO DEL SACRO CUORE '3,15 Febbraio 2024,52.0,pdf_only,45.5241337,9.1628779,48,1.0378874856486797,1340.0,2730.769230769231
,,,,,,009/25,,,,,,,AGGIUDICATA,110048.0,720406.0,173000.0,esito-13febbraio2025.pdf,J.X.,MILANO VIA ENRICO FALCK '11,13 Febbraio 2025,67.0,pdf_only,45.4983511,9.1047205,51,0.5720412910729863,1642.5074626865671,2582.089552238806
,,,,,,009/26,,,,,,,AGGIUDICATA,183825.0,500441.0,226600.0,esito-12febbraio2026.pdf,D.Y.,MILANO VIA BRA' 1,12 Febbraio 2026,86.0,pdf_only,45.468503,9.1824027,9,0.23269413844689243,2137.5,2634.8837209302324
